"","x"
"1","Города областного подчинения Нижегородской области"
"2","Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления"
"3","Нижегородская область"
"4","Районы Нижегородской области"
"5","Тонкинский район"
"6","Варнавинский район"
"7","Большемурашкинский район"
"8","Княгининский район"
"9","Большеболдинский район"
"10","Спасский район"
"11","Краснооктябрьский район"
"12","Шарангский район"
"13","Гагинский район"
"14","Вадский район"
"15","Сокольский район"
"16","Бутурлинский район"
"17","Тоншаевский район"
"18","Дивеевский район"
"19","Кулебакский район"
"20","Сеченовский район"
"21","Перевозский район"
"22","Ветлужский район"
"23","Вознесенский район"
"24","Ковернинский район"
"25","Воротынский район"
"26","Сосновский район"
"27","Первомайский район"
"28","Краснобаковский район"
"29","Вачский район"
"30","Дальнеконстантиновский район"
"31","Воскресенский район"
"32","Пильнинский район"
"33","Чкаловский район"
"34","Балахнинский район"
"35","Навашинский район"
"36","Шатковский район"
"37","Выксунский район"
"38","Ардатовский район"
"39","Богородский район"
"40","г. Городец"
"41","Уренский район"
"42","Починковский район"
"43","Лукояновский район"
"44","г. Богородск"
"45","Сергачский район"
"46","Сельские населенные пункты, подчиненные администрации г. Кулебаки"
"47","Лысковский район"
"48","Павловский район"
"49","Шахунский район"
"50","Арзамасский район"
"51","Кстовский район"
"52","Семеновский район"
"53","Володарский район"
"54","г. Балахна"
"55","г. Бор"
"56","г. Выкса"
"57","Борский район"
"58","Городецкий район"
"59","г. Павлово"
"60","г. Кстово"
"61","г. Саров"
"62","г. Арзамас"
"63","Сельские населенные пункты, подчиненные администрации г. Дзержинска"
"64","г. Нижний Новгород"
"65","Всего"
